rise of the earth dragon,3.75
absolution gap,3.25
acccelerando,-0.5
between_planets,1.3
by the light of the green star  ,1.5
cemetery world,-0.5
citizen_of_the_galaxy,-0.5
an evil cradling,0.1
arms and the man,5.5
beyond the mexique bay,0.5
blue remembered earth,0.2
cabbages and kings,0.6
carrion comfort,1.6
clouds of witness,2.375
a catskill eagle,2.33333333333
cover her face,3.75
the cricket on the hearth,1.7
the daffodil sky,4.0
the calcutta chromosome,1.0
shadow lines,2.3
midnight's children,-2.25
train to pakistan,-0.2
swami and friends,5.33333333333
the hungry tide,0.0
the guide,-2.0
ariadne's thread,3.125
a book of one's own,2.75
a life of one's own by joana field,2.0
a tale of the ragged mountains,1.1
a voice of her own,2.375
an obedient father,-1.625
dreamsnake,2.875
emperors of the twilight,5.0
endless night,2.5
fire on the mountain,0.75
god of small things,4.0
gone with the wind,-2.125
great work of time,2.5
immortals of meluha,0.75
five point someone,0.5
how to make a journal of your life by dan price,2.8
imperial earth,2.1
journal to the self,3.6
keeping a journal you love by sheila bender,2.4
one million tomorrows,-0.4
sacred games,3.33333333333
stranger in a strange land ,1.5
tender is the night,1.16666666667
the blue umbrella,3.125
the creative journal,3.4
the aesthetic page,4.0
the dragon masters,5.5
the eye of the heron,4.0
the female man,-0.5
the great indian novel,2.9
the house of mirth,2.875
the immortals,-0.7
the inheritance of loss ,2.25
the journal book,-1.7
the lost planet ,2.25
the new diary,0.125
the palace of illusions,0.333333333333
the private life of the diary,3.0
the secret of the nagas,0.5
the void captain's tale,-0.4
the waste land,-3.375
the white tiger ,1.6
the wives of bath,-0.1
to a god unknown,0.3
to your scattered bodies go,-0.5
under the green star,3.16666666667
write for life,1.33333333333
narrative journaling,-1.58333333333
at a journal workshop by ira progoff,0.916666666667
a book of one's own,2.75
a catskill eagle,2.33333333333
a life of one's own by joana field,2.0
a tale of the ragged mountains,1.1
a voice of her own,2.375
absolution gap,3.25
a book of one's own,2.75
a catskill eagle,2.33333333333
a life of one's own by joana field,2.0
a tale of the ragged mountains,1.1
a voice of her own,2.375
absolution gap,3.25
acccelerando,0.0
an evil cradling,0.1
an obedient father,-1.625
ariadne's thread,3.125
arms and the man,5.5
at a journal workshop by ira progoff,0.916666666667
between_planets,1.3
beyond the mexique bay,0.5
blue remembered earth,0.2
by the light of the green star  ,1.5
cabbages and kings,0.0
carrion comfort,1.6
cemetery world,-0.5
citizen of the galaxy,0.0
clouds of witness,2.375
cover her face,3.75
dreamsnake,2.875
emperors of the twilight,5.0
endless night,2.5
fire on the mountain,2.0
five point someone,0.5
god of small things,4.0
gone with the wind,-2.125
great work of time,2.5
how to make a journal of your life by dan price,2.8
immortals of meluha,0.75
imperial earth,2.1
journal to the self,3.6
keeping a journal you love by sheila bender,1.0
midnight's children,-2.25
narrative journaling,-1.58333333333
one million tomorrows,-0.4
sacred games,3.33333333333
shadow lines,2.3
stranger in a strange land ,1.5
swami and friends,4.0
tender is the night,1.16666666667
the aesthetic page,3.0
the blue umbrella,3.5
the calcutta chromosome,1.0
the creative journal,3.4
the cricket on the hearth,1.7
the daffodil sky,3.0
the dragon masters,5.5
the eye of the heron,4.0
the female man,-1.0
the great indian novel,2.9
the guide,-2.0
the house of mirth,2.875
the hungry tide,0.0
the immortals,-0.7
the inheritance of loss ,2.25
the journal book,-1.7
the lost planet ,2.25
the new diary,0.0
the palace of illusions,0.0
the private life of the diary,3.0
the secret of the nagas,0.5
the void captain's tale,0.0
the waste land,-3.375
the white tiger ,1.6
the wives of bath,-0.1
to a god unknown,0.0
to your scattered bodies go,-0.5
train to pakistan,-0.2
under the green star,3.16666666667
write for life,0.0
a book of one's own,2.75
a catskill eagle,2.33333333333
a life of one's own by joana field,2.0
a tale of the ragged mountains,1.1
a voice of her own,2.375
absolution gap,3.25
acccelerando,0.0
an evil cradling,0.1
an obedient father,-1.625
ariadne's thread,3.125
arms and the man,5.5
at a journal workshop by ira progoff,0.916666666667
between_planets,1.3
beyond the mexique bay,0.5
blue remembered earth,0.2
by the light of the green star  ,1.5
cabbages and kings,0.0
carrion comfort,1.6
cemetery world,-0.5
citizen of the galaxy,0.0
clouds of witness,2.375
cover her face,3.75
dreamsnake,2.875
emperors of the twilight,5.0
endless night,2.5
fire on the mountain,2.0
five point someone,0.5
god of small things,4.0
gone with the wind,-2.125
great work of time,2.5
how to make a journal of your life by dan price,2.8
immortals of meluha,0.75
imperial earth,2.1
journal to the self,3.6
keeping a journal you love by sheila bender,1.0
midnight's children,-2.25
narrative journaling,-1.58333333333
one million tomorrows,-0.4
sacred games,3.33333333333
shadow lines,2.3
stranger in a strange land ,1.5
swami and friends,4.0
tender is the night,1.16666666667
the aesthetic page,3.0
the blue umbrella,3.5
the calcutta chromosome,1.0
the creative journal,3.4
the cricket on the hearth,1.7
the daffodil sky,3.0
the dragon masters,5.5
the eye of the heron,4.0
the female man,-1.0
the great indian novel,2.9
the guide,-2.0
the house of mirth,2.875
the hungry tide,0.0
the immortals,-0.7
the inheritance of loss ,2.25
the journal book,-1.7
the lost planet ,2.25
the new diary,0.0
the palace of illusions,0.0
the private life of the diary,3.0
the secret of the nagas,0.5
the void captain's tale,0.0
the waste land,-3.375
the white tiger ,1.6
the wives of bath,-0.1
to a god unknown,0.0
to your scattered bodies go,-0.5
train to pakistan,-0.2
under the green star,3.16666666667
write for life,0.0
a book of one's own,2.75
a catskill eagle,2.33333333333
a life of one's own by joana field,2.0
a tale of the ragged mountains,1.1
a voice of her own,2.375
absolution gap,3.25
acccelerando,0.0
an evil cradling,0.1
an obedient father,-1.625
ariadne's thread,3.125
arms and the man,5.5
at a journal workshop by ira progoff,0.916666666667
between_planets,1.3
beyond the mexique bay,0.5
blue remembered earth,0.2
by the light of the green star  ,1.5
cabbages and kings,0.0
carrion comfort,1.6
cemetery world,-0.5
citizen of the galaxy,0.0
clouds of witness,2.375
cover her face,3.75
dreamsnake,2.875
emperors of the twilight,5.0
endless night,2.5
fire on the mountain,2.0
five point someone,0.5
god of small things,4.0
gone with the wind,-2.125
great work of time,2.5
how to make a journal of your life by dan price,2.8
immortals of meluha,0.75
imperial earth,2.1
journal to the self,3.6
keeping a journal you love by sheila bender,1.0
midnight's children,-2.25
narrative journaling,-1.58333333333
one million tomorrows,-0.4
sacred games,3.33333333333
shadow lines,2.3
stranger in a strange land ,1.5
swami and friends,4.0
tender is the night,1.16666666667
the aesthetic page,3.0
the blue umbrella,3.5
the calcutta chromosome,1.0
the creative journal,3.4
the cricket on the hearth,1.7
the daffodil sky,3.0
the dragon masters,5.5
the eye of the heron,4.0
the female man,-1.0
the great indian novel,2.9
the guide,-2.0
the house of mirth,2.875
the hungry tide,0.0
the immortals,-0.7
the inheritance of loss ,2.25
the journal book,-1.7
the lost planet ,2.25
the new diary,0.0
the palace of illusions,0.0
the private life of the diary,3.0
the secret of the nagas,0.5
the void captain's tale,0.0
the waste land,-3.375
the white tiger ,1.6
the wives of bath,-0.1
to a god unknown,0.0
to your scattered bodies go,-0.5
train to pakistan,-0.2
under the green star,3.16666666667
write for life,0.0
